Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,META,META,META,META,META,,,
2024-04-11,2024,4,11,Thursday,14,2024-14,517.12,519.85,513.33,519.16,10369500,0.006405920314615621,503.3164285714285,483.3632
2024-04-12,2024,4,12,Friday,14,2024-14,513.79,516.21,505.43,507.98,11984500,-0.021523118078443426,503.4807142857143,485.78799999999995
2024-04-15,2024,4,15,Monday,15,2024-15,512.77,514.56,493.47,496.4,13512900,-0.022797366481386083,503.28285714285715,487.88919999999996
2024-04-16,2024,4,16,Tuesday,15,2024-15,494.3,500.91,493.31,495.94,9847900,-0.0009396850674852075,503.5578571428572,488.3908
2024-04-17,2024,4,17,Wednesday,15,2024-15,499.25,499.31,483.41,490.39,12193700,-0.01118523189284859,503.58,489.09039999999993
2024-04-18,2024,4,18,Thursday,15,2024-15,495.99,508.29,495.22,497.96,14808700,0.015439820464627774,504.72999999999996,490.0344
2024-04-19,2024,4,19,Friday,15,2024-15,498.95,498.95,472.09,477.39,25215400,-0.041311230027669676,504.0014285714286,490.2722
2024-04-22,2024,4,22,Monday,16,2024-16,485.97,488.24,469.78,478.04,17271100,0.0013719825589066925,502.89285714285717,490.51480000000004
2024-04-23,2024,4,23,Tuesday,16,2024-16,487.49,494.94,485.23,492.3,15079200,0.029830091165269135,502.1385714285715,491.08
2024-04-24,2024,4,24,Wednesday,16,2024-16,504.17,506.1,480.87,489.72,37772700,-0.005240955251592627,500.9035714285714,491.578
2024-04-25,2024,4,25,Thursday,16,2024-16,418.17,442.36,411.33,438.0,82890700,-0.10561295065832477,494.81071428571425,491.21579999999994
2024-04-26,2024,4,26,Friday,16,2024-16,438.08,443.02,428.65,439.9,32691400,0.004327345110231695,489.4264285714286,490.63059999999996
2024-04-29,2024,4,29,Monday,17,2024-17,436.2,436.39,425.28,429.31,21502600,-0.0240701119014618,483.45285714285717,489.6204
2024-04-30,2024,4,30,Tuesday,17,2024-17,427.75,436.26,426.43,426.88,18429500,-0.005663156259025581,477.09785714285715,488.77399999999994
2024-05-01,2024,5,1,Wednesday,17,2024-17,425.32,446.52,423.84,435.83,20344900,0.02096843492925693,471.1457142857143,488.13779999999997
2024-05-02,2024,5,2,Thursday,17,2024-17,435.48,440.56,428.97,438.3,15221300,0.005669537683540726,466.1685714285714,487.61479999999995
2024-05-03,2024,5,3,Friday,17,2024-17,442.52,450.69,440.45,448.5,16489100,0.02327484161030169,462.7471428571429,486.93659999999994
2024-05-06,2024,5,6,Monday,18,2024-18,452.09,462.59,449.87,462.12,15094600,0.030356586723039314,460.33142857142855,486.57239999999996
2024-05-07,2024,5,7,Tuesday,18,2024-18,462.72,467.92,457.78,464.66,13406800,0.005497332825451062,458.49357142857144,486.3046
2024-05-08,2024,5,8,Wednesday,18,2024-18,459.95,471.94,459.46,468.98,11683900,0.009311526573868356,456.42357142857145,486.0178000000001
2024-05-09,2024,5,9,Thursday,18,2024-18,466.4,472.44,464.05,471.78,9437700,0.005966955490096293,456.0228571428571,485.847
2024-05-10,2024,5,10,Friday,18,2024-18,473.44,473.85,466.01,472.56,10750000,0.0016407563223617139,455.63142857142856,485.57059999999996
